title,genre
The Lovers,Action|Adventure|Science Fiction|Romance
The BFG,Adventure|Family|Fantasy
Real Steel,Action|Science Fiction|Drama
Dredd,Action|Science Fiction
Walking With Dinosaurs,Animation|Family|Adventure
Top Cat Begins,Comedy|Animation
Legends of Oz: Dorothy's Return,Animation|Music|Family
Lincoln,History|Drama
The Happening,Thriller|Science Fiction
Street Fighter: The Legend of Chun-Li,Action|Adventure|Science Fiction|Thriller
Earth,Drama
Bridge of Spies,Thriller|Drama
Baahubali: The Beginning,Action|Adventure|War|History
The Help,Drama
Gandhi,Drama|History
The Hundred-Foot Journey,Drama
Alpha and Omega,Family|Animation
Ramanujan,Drama|History
Slumdog Millionaire,Drama|Romance
I Think I Love My Wife,Comedy|Romance
Kabhi Alvida Naa Kehna,Drama|Romance
Housefull,Drama|Comedy|Romance|Foreign
Krrish,Action|Science Fiction
Kites,Drama|Action|Romance
Jab Tak Hai Jaan,Drama|Romance
The Namesake,Drama
My Name Is Khan,Drama|Romance
Yeh Jawaani Hai Deewani,Romance
Ta Ra Rum Pum,Family|Comedy|Romance
Veer-Zaara,Drama|Romance
Stiff Upper Lips,Comedy
Bend It Like Beckham,Comedy|Drama|Romance
Rang De Basanti,Drama
Dum Maaro Dum,Drama|Action|Crime|Foreign
"Gandhi, My Father",Drama|Foreign|History
Fugly,Comedy|Drama|Thriller
Airlift,Thriller|Action|Drama|History
Paa,Drama|Family|Foreign
Kama Sutra - A Tale of Love,Drama|History|Romance
Lage Raho Munna Bhai,Comedy|Drama|Romance
Sardaarji,
Brick Lane,Drama
The Other End of the Line,Comedy|Romance
Roadside Romeo,Animation|Family|Foreign
ABCD (Any Body Can Dance),Drama|Music
Vaalu,Comedy|Romance
The Lunchbox,Drama|Romance
Dil Jo Bhi Kahey...,Romance
Neal 'n' Nikki,Comedy|Romance
Monsoon Wedding,Comedy|Drama|Romance
Rocket Singh: Salesman of the Year,Drama|Comedy|Romance
Fiza,Drama|Foreign|Romance
Chocolate: Deep Dark Secrets,Thriller
Faith Connections,Documentary|Drama
Ayurveda: Art of Being,Documentary
American Desi,Drama|Comedy|Romance
